[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,48,1]
[1][1,(0, 1),0,E,1,47,1]
[3][2,(0, 2),1,E,2,46,0]
[11][4,(0, 3),3,E,3,45,0]
[13][8,(0, 4),11,E,4,44,0]
[15][9,(1, 4),13,S,5,43,0]
[29][10,(1, 5),15,E,6,42,0]
[32][11,(0, 5),29,N,7,43,0]
[36][13,(0, 6),32,E,8,42,0]
[38][14,(0, 7),36,E,9,41,0]
[41][16,(0, 8),38,E,10,40,0]
[43][19,(0, 9),41,E,11,39,0]
[46][23,(0, 10),43,E,12,38,0]
[49][27,(0, 11),46,E,13,37,0]
[51][29,(0, 12),49,E,14,36,0]
[54][31,(0, 13),51,E,15,35,0]
[56][32,(0, 14),54,E,16,34,0]
[59][34,(0, 15),56,E,17,33,0]
[62][35,(0, 16),59,E,18,32,0]
[65][37,(0, 17),62,E,19,31,0]
[67][38,(0, 18),65,E,20,30,0]
[70][39,(0, 19),67,E,21,29,0]
[72][40,(0, 20),70,E,22,28,0]
[74][43,(0, 21),72,E,23,27,0]
[76][44,(0, 22),74,E,24,26,0]
[78][47,(0, 23),76,E,25,25,0]
[82][48,(1, 23),78,S,26,24,0]
[142][49,(2, 23),82,S,27,23,0]
[225][51,(3, 23),142,S,28,22,0]
[300][54,(4, 23),225,S,29,21,0]
[370][55,(5, 23),300,S,30,20,0]
[455][58,(6, 23),370,S,31,19,0]
[535][59,(7, 23),455,S,32,18,0]
[612][60,(8, 23),535,S,33,17,0]
[698][61,(9, 23),612,S,34,16,0]
[776][62,(10, 23),698,S,35,15,0]
[853][64,(11, 23),776,S,36,14,0]
[937][68,(12, 23),853,S,37,13,0]
[1010][69,(12, 24),937,E,38,12,0]
[1013][71,(13, 24),1010,S,39,11,0]
[1089][73,(14, 24),1013,S,40,10,0]
[1166][75,(14, 23),1089,O,41,11,0]
[1168][76,(15, 23),1166,S,42,10,0]
[1254][79,(16, 23),1168,S,43,9,0]
[1325][80,(16, 24),1254,E,44,8,0]
[1328][81,(17, 24),1325,S,45,7,0]
[1409][84,(18, 24),1328,S,46,6,0]
[1485][86,(19, 24),1409,S,47,5,0]
[1572][87,(20, 24),1485,S,48,4,0]
[1650][91,(21, 24),1572,S,49,3,0]
[1729][92,(22, 24),1650,S,50,2,0]
[1818][93,(23, 24),1729,S,51,1,0]
[1903][97,(24, 24),1818,S,52,0,0]
