[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,73,0]
[1][4,(0, 1),0,E,1,72,72.0]
[3][5,(0, 2),1,E,2,71,71.0]
[6][8,(1, 2),3,S,3,70,70.0]
[7][11,(1, 3),6,E,4,69,69.0]
[10][12,(1, 4),7,E,5,68,68.0]
[13][14,(1, 5),10,E,6,67,67.0]
[16][15,(1, 6),13,E,7,66,66.0]
[19][18,(1, 7),16,E,8,65,65.0]
[21][19,(1, 8),19,E,9,64,64.0]
[24][20,(1, 9),21,E,10,63,63.0]
[27][22,(1, 10),24,E,11,62,62.0]
[29][23,(2, 10),27,S,12,61,61.0]
[30][24,(2, 11),29,E,13,60,60.0]
[33][25,(3, 11),30,S,14,59,59.0]
[34][28,(3, 12),33,E,15,58,58.0]
[37][29,(3, 13),34,E,16,57,57.0]
[39][32,(4, 13),37,S,17,56,56.0]
[40][36,(4, 14),39,E,18,55,55.0]
[43][37,(4, 15),40,E,19,54,54.0]
[46][38,(4, 16),43,E,20,53,53.0]
[49][39,(4, 17),46,E,21,52,52.0]
[52][41,(5, 17),49,S,22,51,51.0]
[53][42,(5, 18),52,E,23,50,50.0]
[56][44,(5, 19),53,E,24,49,49.0]
[58][48,(5, 20),56,E,25,48,48.0]
[60][51,(5, 21),58,E,26,47,47.0]
[63][52,(5, 22),60,E,27,46,46.0]
[66][53,(5, 23),63,E,28,45,45.0]
[70][54,(6, 23),66,S,29,44,44.0]
[73][57,(7, 23),70,S,30,43,43.0]
[74][58,(7, 24),73,E,31,42,42.0]
[77][62,(8, 24),74,S,32,41,41.0]
[78][63,(9, 24),77,S,33,40,40.0]
[80][65,(9, 23),78,O,34,41,41.0]
[82][66,(10, 23),80,S,35,40,40.0]
[84][67,(11, 23),82,S,36,39,39.0]
[86][68,(11, 22),84,O,37,40,40.0]
[87][69,(12, 22),86,S,38,39,39.0]
[89][72,(12, 23),87,E,39,38,38.0]
[92][74,(12, 24),89,E,40,37,37.0]
[93][75,(13, 24),92,S,41,36,36.0]
[94][78,(14, 24),93,S,42,35,35.0]
[96][79,(15, 24),94,S,43,34,34.0]
[98][82,(16, 24),96,S,44,33,33.0]
[100][83,(17, 24),98,S,45,32,32.0]
[102][85,(17, 23),100,O,46,33,33.0]
[103][89,(18, 23),102,S,47,32,32.0]
[105][90,(18, 24),103,E,48,31,31.0]
[107][91,(19, 24),105,S,49,30,30.0]
[108][92,(20, 24),107,S,50,29,29.0]
[110][93,(20, 23),108,O,51,30,30.0]
[111][95,(21, 23),110,S,52,29,29.0]
[113][99,(21, 24),111,E,53,28,28.0]
[116][101,(22, 24),113,S,54,27,27.0]
[117][105,(23, 24),116,S,55,26,26.0]
[118][106,(24, 24),117,S,56,25,25.0]
[120][107,(25, 24),118,S,57,24,24.0]
[121][108,(26, 24),120,S,58,23,23.0]
[123][109,(27, 24),121,S,59,22,22.0]
[125][110,(28, 24),123,S,60,21,21.0]
[127][111,(28, 23),125,O,61,22,22.0]
[128][114,(29, 23),127,S,62,21,21.0]
[131][117,(30, 23),128,S,63,20,20.0]
[133][118,(30, 24),131,E,64,19,19.0]
[135][121,(31, 24),133,S,65,18,18.0]
[136][124,(32, 24),135,S,66,17,17.0]
[137][125,(33, 24),136,S,67,16,16.0]
[139][129,(34, 24),137,S,68,15,15.0]
[141][131,(34, 23),139,O,69,16,16.0]
[142][135,(35, 23),141,S,70,15,15.0]
[144][136,(35, 24),142,E,71,14,14.0]
[147][137,(36, 24),144,S,72,13,13.0]
[148][138,(37, 24),147,S,73,12,12.0]
[149][140,(38, 24),148,S,74,11,11.0]
[151][141,(39, 24),149,S,75,10,10.0]
[153][143,(40, 24),151,S,76,9,9.0]
[155][144,(41, 24),153,S,77,8,8.0]
[157][147,(41, 23),155,O,78,9,9.0]
[158][148,(42, 23),157,S,79,8,8.0]
[160][149,(43, 23),158,S,80,7,7.0]
[162][150,(43, 24),160,E,81,6,6.0]
[166][153,(44, 24),162,S,82,5,5.0]
[167][157,(45, 24),166,S,83,4,4.0]
[168][161,(46, 24),167,S,84,3,3.0]
[170][164,(47, 24),168,S,85,2,2.0]
[172][166,(48, 24),170,S,86,1,1.0]
[174][167,(49, 24),172,S,87,0,0.0]
