[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,73,0]
[2][3,(1, 0),0,S,1,72,3.0]
[6][4,(2, 0),2,S,2,71,4.0]
[10][5,(3, 0),6,S,3,70,5.0]
[13][7,(3, 1),10,E,4,69,7.0]
[18][8,(3, 2),13,E,5,68,8.0]
[23][9,(4, 2),18,S,6,67,9.0]
[31][10,(4, 3),23,E,7,66,10.0]
[35][11,(4, 4),31,E,8,65,11.0]
[38][12,(4, 5),35,E,9,64,12.0]
[45][13,(4, 6),38,E,10,63,13.0]
[56][14,(4, 7),45,E,11,62,14.0]
[66][15,(5, 7),56,S,12,61,15.0]
[71][16,(6, 7),66,S,13,60,16.0]
[79][17,(7, 7),71,S,14,59,17.0]
[86][18,(7, 8),79,E,15,58,18.0]
[98][19,(7, 9),86,E,16,57,19.0]
[106][20,(7, 10),98,E,17,56,20.0]
[117][21,(7, 11),106,E,18,55,21.0]
[129][22,(7, 12),117,E,19,54,22.0]
[138][23,(7, 13),129,E,20,53,23.0]
[150][24,(6, 13),138,N,21,54,24.0]
[165][25,(6, 14),150,E,22,53,25.0]
[182][26,(6, 15),165,E,23,52,26.0]
[195][28,(6, 16),182,E,24,51,28.0]
[221][29,(6, 17),195,E,25,50,29.0]
[240][31,(6, 18),221,E,26,49,31.0]
[270][32,(6, 19),240,E,27,48,32.0]
[286][33,(6, 20),270,E,28,47,33.0]
[304][34,(7, 20),286,S,29,46,34.0]
[319][36,(7, 21),304,E,30,45,36.0]
[348][37,(7, 22),319,E,31,44,37.0]
[371][38,(7, 23),348,E,32,43,38.0]
[396][41,(8, 23),371,S,33,42,41.0]
[457][42,(8, 24),396,E,34,41,42.0]
[473][45,(8, 25),457,E,35,40,45.0]
[530][46,(8, 26),473,E,36,39,46.0]
[547][47,(9, 26),530,S,37,38,47.0]
[563][48,(9, 27),547,E,38,37,48.0]
[581][49,(9, 28),563,E,39,36,49.0]
[599][50,(9, 29),581,E,40,35,50.0]
[616][51,(9, 30),599,E,41,34,51.0]
[636][52,(10, 30),616,S,42,33,52.0]
[656][53,(10, 31),636,E,43,32,53.0]
[675][55,(11, 31),656,S,44,31,55.0]
[717][56,(12, 31),675,S,45,30,56.0]
[736][57,(13, 31),717,S,46,29,57.0]
[750][58,(13, 32),736,E,47,28,58.0]
[766][59,(13, 33),750,E,48,27,59.0]
[786][60,(13, 34),766,E,49,26,60.0]
[807][61,(14, 34),786,S,50,25,61.0]
[823][62,(14, 35),807,E,51,24,62.0]
[838][63,(14, 36),823,E,52,23,63.0]
[848][66,(14, 37),838,E,53,22,66.0]
[886][67,(14, 38),848,E,54,21,67.0]
[902][68,(14, 39),886,E,55,20,68.0]
[919][69,(15, 39),902,S,56,19,69.0]
[941][70,(15, 40),919,E,57,18,70.0]
[957][71,(15, 41),941,E,58,17,71.0]
[971][72,(16, 41),957,S,59,16,72.0]
[997][73,(17, 41),971,S,60,15,73.0]
[1012][75,(17, 42),997,E,61,14,75.0]
[1055][76,(17, 43),1012,E,62,13,76.0]
[1072][78,(17, 44),1055,E,63,12,78.0]
[1112][79,(17, 45),1072,E,64,11,79.0]
[1132][80,(18, 45),1112,S,65,10,80.0]
[1154][81,(19, 45),1132,S,66,9,81.0]
[1169][82,(19, 46),1154,E,67,8,82.0]
[1186][83,(20, 46),1169,S,68,7,83.0]
[1199][84,(20, 47),1186,E,69,6,84.0]
[1208][85,(21, 47),1199,S,70,5,85.0]
[1220][86,(22, 47),1208,S,71,4,86.0]
[1232][87,(23, 47),1220,S,72,3,87.0]
[1237][88,(24, 47),1232,S,73,2,88.0]
[1243][89,(24, 48),1237,E,74,1,89.0]
[1250][93,(24, 49),1243,E,75,0,93.0]
