[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,73,0]
[1][3,(0, 1),0,E,1,72,1.0]
[3][4,(0, 2),1,E,2,71,2.0]
[7][5,(0, 3),3,E,3,70,3.0]
[11][6,(0, 4),7,E,4,69,4.0]
[15][7,(0, 5),11,E,5,68,5.0]
[21][9,(0, 6),15,E,6,67,6.0]
[29][12,(0, 7),21,E,7,66,7.0]
[37][13,(0, 8),29,E,8,65,8.0]
[46][16,(0, 9),37,E,9,64,9.0]
[56][19,(1, 9),46,S,10,63,10.0]
[65][23,(1, 10),56,E,11,62,11.0]
[76][27,(1, 11),65,E,12,61,12.0]
[88][28,(1, 12),76,E,13,60,13.0]
[101][31,(2, 12),88,S,14,59,14.0]
[114][34,(2, 13),101,E,15,58,15.0]
[128][37,(2, 14),114,E,16,57,16.0]
[142][38,(2, 15),128,E,17,56,17.0]
[159][39,(3, 15),142,S,18,55,18.0]
[177][40,(3, 16),159,E,19,54,19.0]
[196][43,(3, 17),177,E,20,53,20.0]
[214][44,(4, 17),196,S,21,52,21.0]
[233][45,(4, 18),214,E,22,51,22.0]
[257][46,(4, 19),233,E,23,50,23.0]
[279][50,(4, 20),257,E,24,49,24.0]
[301][54,(4, 21),279,E,25,48,25.0]
[327][58,(4, 22),301,E,26,47,26.0]
[352][59,(4, 23),327,E,27,46,27.0]
[377][61,(5, 23),352,S,28,45,28.0]
[405][62,(6, 23),377,S,29,44,29.0]
[432][63,(7, 23),405,S,30,43,30.0]
[456][66,(8, 23),432,S,31,42,31.0]
[478][67,(8, 24),456,E,32,41,32.0]
[503][70,(8, 25),478,E,33,40,33.0]
[529][71,(8, 26),503,E,34,39,34.0]
[555][74,(8, 27),529,E,35,38,35.0]
[579][75,(9, 27),555,S,36,37,36.0]
[598][76,(9, 28),579,E,37,36,37.0]
[623][77,(9, 29),598,E,38,35,38.0]
[650][78,(9, 30),623,E,39,34,39.0]
[673][80,(9, 31),650,E,40,33,40.0]
[695][81,(10, 31),673,S,41,32,41.0]
[717][82,(10, 32),695,E,42,31,42.0]
[744][83,(10, 33),717,E,43,30,43.0]
[771][84,(10, 34),744,E,44,29,44.0]
[794][85,(10, 35),771,E,45,28,45.0]
[817][87,(10, 36),794,E,46,27,46.0]
[841][91,(10, 37),817,E,47,26,47.0]
[863][95,(11, 37),841,S,48,25,48.0]
[883][97,(11, 38),863,E,49,24,49.0]
[907][98,(11, 39),883,E,50,23,50.0]
[934][99,(11, 40),907,E,51,22,51.0]
[958][103,(11, 41),934,E,52,21,52.0]
[981][104,(12, 41),958,S,53,20,53.0]
[1005][105,(12, 42),981,E,54,19,54.0]
[1031][106,(12, 43),1005,E,55,18,55.0]
[1057][107,(12, 44),1031,E,56,17,56.0]
[1080][108,(12, 45),1057,E,57,16,57.0]
[1103][109,(12, 46),1080,E,58,15,58.0]
[1125][113,(12, 47),1103,E,59,14,59.0]
[1142][114,(13, 47),1125,S,60,13,60.0]
[1158][115,(14, 47),1142,S,61,12,61.0]
[1174][116,(15, 47),1158,S,62,11,62.0]
[1186][117,(15, 48),1174,E,63,10,63.0]
[1197][118,(16, 48),1186,S,64,9,64.0]
[1207][119,(17, 48),1197,S,65,8,65.0]
[1215][120,(18, 48),1207,S,66,7,66.0]
[1223][124,(19, 48),1215,S,67,6,67.0]
[1231][126,(20, 48),1223,S,68,5,68.0]
[1236][130,(20, 49),1231,E,69,4,69.0]
[1241][131,(21, 49),1236,S,70,3,70.0]
[1245][133,(22, 49),1241,S,71,2,71.0]
[1247][136,(23, 49),1245,S,72,1,72.0]
[1249][140,(24, 49),1247,S,73,0,73.0]
