[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,73,0]
[1][3,(0, 1),0,E,1,72,72.0]
[3][4,(0, 2),1,E,2,71,71.0]
[6][5,(0, 3),3,E,3,70,70.0]
[7][6,(0, 4),6,E,4,69,69.0]
[8][7,(0, 5),7,E,5,68,68.0]
[10][9,(0, 6),8,E,6,67,67.0]
[11][12,(0, 7),10,E,7,66,66.0]
[13][13,(0, 8),11,E,8,65,65.0]
[15][16,(0, 9),13,E,9,64,64.0]
[17][19,(1, 9),15,S,10,63,63.0]
[18][23,(1, 10),17,E,11,62,62.0]
[21][27,(1, 11),18,E,12,61,61.0]
[24][28,(1, 12),21,E,13,60,60.0]
[26][31,(2, 12),24,S,14,59,59.0]
[27][34,(2, 13),26,E,15,58,58.0]
[30][37,(2, 14),27,E,16,57,57.0]
[33][38,(2, 15),30,E,17,56,56.0]
[36][39,(3, 15),33,S,18,55,55.0]
[38][40,(3, 16),36,E,19,54,54.0]
[40][43,(3, 17),38,E,20,53,53.0]
[43][44,(4, 17),40,S,21,52,52.0]
[44][45,(4, 18),43,E,22,51,51.0]
[46][46,(4, 19),44,E,23,50,50.0]
[49][50,(4, 20),46,E,24,49,49.0]
[51][54,(4, 21),49,E,25,48,48.0]
[54][58,(4, 22),51,E,26,47,47.0]
[57][59,(4, 23),54,E,27,46,46.0]
[60][61,(5, 23),57,S,28,45,45.0]
[61][64,(5, 24),60,E,29,44,44.0]
[64][66,(5, 25),61,E,30,43,43.0]
[67][69,(5, 26),64,E,31,42,42.0]
[69][71,(4, 26),67,N,32,43,43.0]
[71][74,(4, 27),69,E,33,42,42.0]
[72][78,(4, 28),71,E,34,41,41.0]
[75][81,(4, 29),72,E,35,40,40.0]
[78][82,(5, 29),75,S,36,39,39.0]
[79][84,(5, 30),78,E,37,38,38.0]
[82][86,(5, 31),79,E,38,37,37.0]
[84][89,(6, 31),82,S,39,36,36.0]
[85][91,(6, 32),84,E,40,35,35.0]
[88][94,(6, 33),85,E,41,34,34.0]
[91][95,(6, 34),88,E,42,33,33.0]
[93][96,(6, 35),91,E,43,32,32.0]
[96][100,(6, 36),93,E,44,31,31.0]
[99][102,(6, 37),96,E,45,30,30.0]
[101][103,(7, 37),99,S,46,29,29.0]
[102][107,(7, 38),101,E,47,28,28.0]
[105][110,(7, 39),102,E,48,27,27.0]
[108][113,(7, 40),105,E,49,26,26.0]
[111][115,(7, 41),108,E,50,25,25.0]
[114][116,(7, 42),111,E,51,24,24.0]
[117][118,(7, 43),114,E,52,23,23.0]
[120][119,(7, 44),117,E,53,22,22.0]
[123][122,(7, 45),120,E,54,21,21.0]
[126][123,(7, 46),123,E,55,20,20.0]
[129][124,(7, 47),126,E,56,19,19.0]
[131][127,(8, 47),129,S,57,18,18.0]
[132][128,(8, 48),131,E,58,17,17.0]
[135][129,(8, 49),132,E,59,16,16.0]
[138][132,(9, 49),135,S,60,15,15.0]
[139][133,(10, 49),138,S,61,14,14.0]
[140][136,(11, 49),139,S,62,13,13.0]
[142][140,(12, 49),140,S,63,12,12.0]
[144][142,(13, 49),142,S,64,11,11.0]
[146][143,(14, 49),144,S,65,10,10.0]
[148][147,(15, 49),146,S,66,9,9.0]
[150][148,(16, 49),148,S,67,8,8.0]
[151][151,(17, 49),150,S,68,7,7.0]
[153][152,(18, 49),151,S,69,6,6.0]
[155][153,(19, 49),153,S,70,5,5.0]
[157][157,(19, 48),155,O,71,6,6.0]
[158][159,(20, 48),157,S,72,5,5.0]
[160][163,(20, 49),158,E,73,4,4.0]
[163][164,(21, 49),160,S,74,3,3.0]
[164][166,(22, 49),163,S,75,2,2.0]
[165][169,(23, 49),164,S,76,1,1.0]
[167][173,(24, 49),165,S,77,0,0.0]
