[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,73,0]
[2][3,(1, 0),0,S,1,72,75.0]
[11][4,(2, 0),2,S,2,71,75.0]
[15][5,(3, 0),11,S,3,70,75.0]
[16][7,(3, 1),15,E,4,69,76.0]
[20][8,(3, 2),16,E,5,68,76.0]
[23][9,(4, 2),20,S,6,67,76.0]
[25][10,(4, 3),23,E,7,66,76.0]
[27][11,(4, 4),25,E,8,65,76.0]
[29][12,(4, 5),27,E,9,64,76.0]
[32][13,(4, 6),29,E,10,63,76.0]
[34][14,(4, 7),32,E,11,62,76.0]
[38][15,(5, 7),34,S,12,61,76.0]
[46][16,(6, 7),38,S,13,60,76.0]
[51][17,(7, 7),46,S,14,59,76.0]
[52][18,(7, 8),51,E,15,58,76.0]
[55][19,(7, 9),52,E,16,57,76.0]
[57][20,(7, 10),55,E,17,56,76.0]
[60][21,(7, 11),57,E,18,55,76.0]
[63][22,(7, 12),60,E,19,54,76.0]
[66][23,(7, 13),63,E,20,53,76.0]
[69][24,(7, 14),66,E,21,52,76.0]
[70][25,(6, 14),69,N,22,53,78.0]
[146][26,(6, 15),70,E,23,52,78.0]
[148][28,(6, 16),146,E,24,51,79.0]
[205][29,(6, 17),148,E,25,50,79.0]
[207][31,(6, 18),205,E,26,49,80.0]
[243][32,(6, 19),207,E,27,48,80.0]
[245][33,(6, 20),243,E,28,47,80.0]
[249][34,(7, 20),245,S,29,46,80.0]
[252][36,(7, 21),249,E,30,45,81.0]
[309][37,(7, 22),252,E,31,44,81.0]
[312][38,(7, 23),309,E,32,43,81.0]
[316][41,(8, 23),312,S,33,42,83.0]
[417][42,(8, 24),316,E,34,41,83.0]
[418][45,(8, 25),417,E,35,40,85.0]
[527][46,(8, 26),418,E,36,39,85.0]
[531][47,(9, 26),527,S,37,38,85.0]
[532][48,(9, 27),531,E,38,37,85.0]
[534][49,(9, 28),532,E,39,36,85.0]
[537][50,(9, 29),534,E,40,35,85.0]
[540][51,(9, 30),537,E,41,34,85.0]
[543][52,(10, 30),540,S,42,33,85.0]
[546][53,(10, 31),543,E,43,32,85.0]
[548][55,(11, 31),546,S,44,31,86.0]
[631][56,(12, 31),548,S,45,30,86.0]
[638][57,(13, 31),631,S,46,29,86.0]
[642][58,(13, 32),638,E,47,28,86.0]
[644][59,(13, 33),642,E,48,27,86.0]
[646][60,(13, 34),644,E,49,26,86.0]
[648][61,(14, 34),646,S,50,25,86.0]
[651][62,(14, 35),648,E,51,24,86.0]
[653][63,(14, 36),651,E,52,23,86.0]
[656][66,(14, 37),653,E,53,22,88.0]
[789][67,(14, 38),656,E,54,21,88.0]
[790][68,(14, 39),789,E,55,20,88.0]
[794][69,(15, 39),790,S,56,19,88.0]
[795][70,(15, 40),794,E,57,18,88.0]
[797][71,(15, 41),795,E,58,17,88.0]
[800][72,(16, 41),797,S,59,16,88.0]
[802][73,(17, 41),800,S,60,15,88.0]
[805][75,(17, 42),802,E,61,14,89.0]
[855][76,(17, 43),805,E,62,13,89.0]
[858][78,(17, 44),855,E,63,12,90.0]
[911][79,(17, 45),858,E,64,11,90.0]
[915][80,(18, 45),911,S,65,10,90.0]
[927][81,(19, 45),915,S,66,9,90.0]
[938][82,(19, 46),927,E,67,8,90.0]
[941][83,(20, 46),938,S,68,7,90.0]
[953][84,(20, 47),941,E,69,6,90.0]
[956][85,(21, 47),953,S,70,5,90.0]
[965][86,(22, 47),956,S,71,4,90.0]
[971][87,(23, 47),965,S,72,3,90.0]
[973][88,(24, 47),971,S,73,2,90.0]
[975][89,(24, 48),973,E,74,1,90.0]
[977][93,(24, 49),975,E,75,0,93.0]
