[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,198,1]
[1][1,(0, 1),0,E,1,197,1]
[2][2,(0, 2),1,E,2,196,0]
[9][6,(0, 3),2,E,3,195,0]
[12][9,(1, 3),9,S,4,194,0]
[24][10,(1, 4),12,E,5,193,0]
[27][11,(0, 4),24,N,6,194,0]
[31][14,(0, 5),27,E,7,193,0]
[33][15,(0, 6),31,E,8,192,0]
[36][16,(0, 7),33,E,9,191,0]
[39][18,(0, 8),36,E,10,190,0]
[42][19,(1, 8),39,S,11,189,0]
[54][20,(1, 9),42,E,12,188,0]
[57][22,(0, 9),54,N,13,189,0]
[61][23,(0, 10),57,E,14,188,0]
[63][27,(0, 11),61,E,15,187,0]
[66][28,(1, 11),63,S,16,186,0]
[73][30,(1, 12),66,E,17,185,0]
[76][31,(0, 12),73,N,18,186,0]
[79][33,(0, 13),76,E,19,185,0]
[81][36,(0, 14),79,E,20,184,0]
[84][40,(1, 14),81,S,21,183,0]
[90][41,(1, 15),84,E,22,182,0]
[92][42,(1, 16),90,E,23,181,0]
[95][43,(0, 16),92,N,24,182,0]
[99][44,(0, 17),95,E,25,181,0]
[103][46,(0, 18),99,E,26,180,0]
[106][47,(0, 19),103,E,27,179,0]
[108][50,(1, 19),106,S,28,178,0]
[118][51,(1, 20),108,E,29,177,0]
[122][54,(1, 21),118,E,30,176,0]
[132][58,(1, 22),122,E,31,175,0]
[135][59,(1, 23),132,E,32,174,0]
[138][63,(0, 23),135,N,33,175,0]
[141][64,(0, 24),138,E,34,174,0]
[143][66,(0, 25),141,E,35,173,0]
[145][68,(1, 25),143,S,36,172,0]
[148][71,(1, 26),145,E,37,171,0]
[153][73,(0, 26),148,N,38,172,0]
[157][75,(0, 27),153,E,39,171,0]
[159][77,(0, 28),157,E,40,170,0]
[162][78,(0, 29),159,E,41,169,0]
[165][82,(0, 30),162,E,42,168,0]
[168][85,(0, 31),165,E,43,167,0]
[171][86,(0, 32),168,E,44,166,0]
[173][87,(1, 32),171,S,45,165,0]
[189][89,(2, 32),173,S,46,164,0]
[306][90,(2, 33),189,E,47,163,0]
[309][93,(1, 33),306,N,48,164,0]
[313][94,(0, 33),309,N,49,165,0]
[316][98,(0, 34),313,E,50,164,0]
[318][99,(0, 35),316,E,51,163,0]
[321][100,(0, 36),318,E,52,162,0]
[324][101,(0, 37),321,E,53,161,0]
[327][102,(0, 38),324,E,54,160,0]
[330][103,(1, 38),327,S,55,159,0]
[344][105,(1, 39),330,E,56,158,0]
[348][106,(2, 39),344,S,57,157,0]
[369][107,(2, 40),348,E,58,156,0]
[371][111,(1, 40),369,N,59,157,0]
[375][113,(1, 41),371,E,60,156,0]
[378][114,(0, 41),375,N,61,157,0]
[382][115,(0, 42),378,E,62,156,0]
[384][116,(0, 43),382,E,63,155,0]
[387][119,(0, 44),384,E,64,154,0]
[390][120,(0, 45),387,E,65,153,0]
[393][124,(1, 45),390,S,66,152,0]
[405][125,(1, 46),393,E,67,151,0]
[408][126,(2, 46),405,S,68,150,0]
[427][128,(2, 47),408,E,69,149,0]
[430][129,(1, 47),427,N,70,150,0]
[434][130,(0, 47),430,N,71,151,0]
[437][132,(0, 48),434,E,72,150,0]
[441][135,(0, 49),437,E,73,149,0]
[444][138,(1, 49),441,S,74,148,0]
[450][141,(1, 50),444,E,75,147,0]
