[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,48,48]
[1][1,(0, 1),0,E,1,47,48]
[4][3,(1, 1),1,S,2,46,49]
[11][4,(1, 2),4,E,3,45,49]
[13][5,(1, 3),11,E,4,44,49]
[17][6,(2, 3),13,S,5,43,49]
[32][7,(3, 3),17,S,6,42,49]
[37][8,(3, 4),32,E,7,41,49]
[41][9,(4, 4),37,S,8,40,49]
[45][10,(5, 4),41,S,9,39,49]
[47][11,(6, 4),45,S,10,38,49]
[50][12,(7, 4),47,S,11,37,49]
[53][13,(7, 5),50,E,12,36,49]
[57][14,(7, 6),53,E,13,35,49]
[60][16,(8, 6),57,S,14,34,50]
[103][17,(8, 7),60,E,15,33,50]
[106][18,(8, 8),103,E,16,32,50]
[109][19,(8, 9),106,E,17,31,50]
[114][20,(9, 9),109,S,18,30,50]
[120][22,(10, 9),114,S,19,29,51]
[189][23,(11, 9),120,S,20,28,51]
[192][24,(11, 10),189,E,21,27,51]
[196][26,(11, 11),192,E,22,26,52]
[264][27,(11, 12),196,E,23,25,52]
[268][31,(11, 13),264,E,24,24,55]
[459][32,(11, 14),268,E,25,23,55]
[462][33,(11, 15),459,E,26,22,55]
[467][34,(12, 15),462,S,27,21,55]
[489][35,(13, 15),467,S,28,20,55]
[515][36,(14, 15),489,S,29,19,55]
[521][37,(15, 15),515,S,30,18,55]
[536][38,(16, 15),521,S,31,17,55]
[549][39,(17, 15),536,S,32,16,55]
[556][40,(17, 16),549,E,33,15,55]
[559][41,(17, 17),556,E,34,14,55]
[563][42,(18, 17),559,S,35,13,55]
[578][43,(19, 17),563,S,36,12,55]
[586][44,(20, 17),578,S,37,11,55]
[589][45,(21, 17),586,S,38,10,55]
[592][46,(21, 18),589,E,39,9,55]
[596][47,(21, 19),592,E,40,8,55]
[599][48,(21, 20),596,E,41,7,55]
[603][52,(21, 21),599,E,42,6,58]
[1048][53,(21, 22),603,E,43,5,58]
[1052][54,(22, 22),1048,S,44,4,58]
[1071][55,(22, 23),1052,E,45,3,58]
[1075][56,(22, 24),1071,E,46,2,58]
[1079][57,(23, 24),1075,S,47,1,58]
[1089][61,(24, 24),1079,S,48,0,61]
